task_key,level,problem_id,task_name,framework_best,framework_compile_count,framework_correct_count,flat_best,flat_compile_count,flat_correct_count,flat_first_correct,flat_refine_gain,flat_run_dir,no_delib_best,no_delib_compile_count,no_delib_correct_count,no_delib_first_correct,no_delib_refine_gain,no_delib_run_dir
L1P1,1,1,kernelbench_l1_1_1_square_matrix_multiplication,1.4210526315789476,6,6,0.9801587301587302,3,3,1,1.0,runs/ablation_selected15_two_stage_20260728_013223/retry/flat_search_L1P1,1.0125000000000002,10,10,1,9.227848101265824,runs/ablation_selected15_two_stage_20260728_013223/no_delib/lane_0_gpu_0/L1P1
L1P10,1,10,kernelbench_l1_10_10_3d_tensor_matrix_multiplication,1.5477996965098633,9,9,1.5326251896813352,5,5,1,1.6388467374810316,runs/ablation_selected15_two_stage_20260728_013223/flat_search/lane_1_gpu_1/L1P10,1.0,10,10,1,33.5,runs/ablation_selected15_two_stage_20260728_013223/no_delib/lane_1_gpu_1/L1P10
L1P25,1,25,kernelbench_l1_25_25_swish,2.3448275862068964,10,10,2.41566265060241,9,8,1,1.0,runs/ablation_selected15_two_stage_20260728_013223/flat_search/lane_2_gpu_2/L1P25,2.4303030303030306,10,10,1,1.0,runs/ablation_selected15_two_stage_20260728_013223/no_delib/lane_2_gpu_2/L1P25
L1P30,1,30,kernelbench_l1_30_30_softsign,3.2317880794701987,10,9,2.3694581280788176,10,9,2,1.0098522167487682,runs/ablation_selected15_two_stage_20260728_013223/flat_search/lane_3_gpu_3/L1P30,2.3811881188118815,10,10,1,1.0445544554455446,runs/ablation_selected15_two_stage_20260728_013223/no_delib/lane_3_gpu_3/L1P30
L1P40,1,40,kernelbench_l1_40_40_layernorm,5.5576923076923075,6,6,6.066452304394427,10,6,1,2.107744451438628,runs/ablation_selected15_two_stage_20260728_013223/flat_search/lane_4_gpu_4/L1P40,5.333333333333333,10,8,1,2.0535279805352795,runs/ablation_selected15_two_stage_20260728_013223/retry/no_delib_L1P40
L1P50,1,50,kernelbench_l1_50_50_conv_standard_2d_square_input_square_kernel,1.1685393258426966,5,4,0.9931972789115646,6,2,2,1.0,runs/ablation_selected15_two_stage_20260728_013223/flat_search/lane_1_gpu_1/L1P50,1.2016460905349793,10,7,2,1.214034194561113,runs/ablation_selected15_two_stage_20260728_013223/no_delib/lane_1_gpu_1/L1P50
L1P72,1,72,kernelbench_l1_72_72_conv_transposed_3d_asymmetric_input_asymmetric_kernel_strided_padded_grouped,2.4882352941176475,9,8,1.6263736263736266,5,4,2,1.7669713464105992,runs/ablation_selected15_two_stage_20260728_013223/flat_search/lane_0_gpu_0/L1P72,0.9534368070953436,9,9,1,1.188470066518847,runs/ablation_selected15_two_stage_20260728_013223/no_delib/lane_0_gpu_0/L1P72
L1P97,1,97,kernelbench_l1_97_97_scaleddotproductattention,2.175182481751825,9,9,2.4263959390862944,3,3,4,1.5076142131979697,runs/ablation_selected15_two_stage_20260728_013223/flat_search/lane_2_gpu_2/L1P97,1.16301703163017,9,9,1,1.165450121654501,runs/ablation_selected15_two_stage_20260728_013223/no_delib/lane_2_gpu_2/L1P97
L2P16,2,16,kernelbench_l2_16_16_convtranspose2d_mish_add_hardtanh_scaling,1.691542288557214,10,7,1.683417085427136,10,9,1,1.0,runs/ablation_selected15_two_stage_20260728_013223/flat_search/lane_3_gpu_3/L2P16,1.683417085427136,10,10,1,1.0,runs/ablation_selected15_two_stage_20260728_013223/no_delib/lane_3_gpu_3/L2P16
L2P21,2,21,kernelbench_l2_21_21_conv2d_add_scale_sigmoid_groupnorm,1.7625899280575539,10,7,1.6917728852838934,8,5,1,1.0278099652375434,runs/ablation_selected15_two_stage_20260728_013223/flat_search/lane_4_gpu_4/L2P21,1.7036172695449243,7,4,2,1.7269544924154028,runs/ablation_selected15_two_stage_20260728_013223/no_delib/lane_4_gpu_4/L2P21
