k,node_id,parent_id,origin,attempt_mode,strategy_id,compile_ok,correct,speedup,success_at_k,fast1_at_k,best_so_far_speedup,failure_stage,failure_type
1,n1,root,plan_code,,,False,False,,False,False,,,invalid_patch_format
2,n2,n1,debug,,,False,False,,False,False,,,invalid_region_patch_format
3,n3,n2,debug,,,False,False,,False,False,,,region_apply_failed
4,n4,root,plan_code,,,True,True,4.48062015503876,True,True,4.48062015503876,,
5,n5,n3,debug,,,False,False,,True,True,4.48062015503876,,invalid_region_patch_format
6,phase2_n1,phase2_root,plan_code,,,True,True,5.3428571428571425,True,True,5.3428571428571425,,
7,phase2_n2,phase2_n1,plan_code,,,True,True,5.371428571428571,True,True,5.371428571428571,,
8,phase2_n3,phase2_n2,plan_code,,,True,True,5.5576923076923075,True,True,5.5576923076923075,,
9,phase2_n4,phase2_n3,plan_code,,,True,True,4.669491525423729,True,True,5.5576923076923075,,
10,phase2_n5,phase2_n4,plan_code,,,True,True,4.0419580419580425,True,True,5.5576923076923075,,
