k,node_id,parent_id,origin,compile_ok,correct,speedup,success_at_k,fast1_at_k,best_so_far_speedup,failure_stage,failure_type
1,n1,root,plan_code,True,True,0.8034934497816594,True,False,0.8034934497816594,,
2,n2,n1,plan_code,True,True,0.6943396226415094,True,False,0.8034934497816594,,
3,n3,n2,plan_code,True,True,1.0054945054945055,True,True,1.0054945054945055,,
4,n4,n3,plan_code,True,False,,True,True,1.0054945054945055,,builtins.RuntimeError
5,n5,n4,debug,False,False,,True,True,1.0054945054945055,,invalid_patch_format
6,phase2_n1,phase2_root,plan_code,True,True,8.798076923076922,True,True,8.798076923076922,,
7,phase2_n2,phase2_n1,plan_code,True,True,9.33673469387755,True,True,9.33673469387755,,
8,phase2_n3,phase2_n2,plan_code,True,True,9.285714285714286,True,True,9.33673469387755,,
9,phase2_n4,phase2_n2,plan_code,True,True,9.891304347826088,True,True,9.891304347826088,,
10,phase2_n5,phase2_n3,plan_code,True,True,9.945652173913043,True,True,9.945652173913043,,
