level,problem_id,task_name,candidate_count,compile_count,correct_count,success,fast1,best_speedup,best_node_id,first_correct_attempt,first_correct_node_id,first_correct_speedup,refine_gain,run_dir
1,1,kernelbench_l1_1_1_square_matrix_multiplication,10,6,6,True,True,1.4210526315789476,phase2_n5,4,n4,1.0,1.4210526315789476,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P001
1,2,kernelbench_l1_2_2_standard_matrix_multiplication,10,7,5,True,True,1.0043290043290043,phase2_n4,1,n1,1.0,1.0043290043290043,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P002
1,3,kernelbench_l1_3_3_batched_matrix_multiplication,10,8,7,True,True,1.7186629526462396,phase2_n2,3,n3,0.9867549668874172,1.7417322540240416,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P003
1,4,kernelbench_l1_4_4_matrix_vector_multiplication,10,10,9,True,True,1.0022727272727272,phase2_n5,1,n1,0.9649890590809627,1.0386363636363638,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P004
1,5,kernelbench_l1_5_5_matrix_scalar_multiplication,10,10,10,True,True,1.0392156862745099,n4,1,n1,0.9891089108910892,1.0506585016388938,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P005
1,6,kernelbench_l1_6_6_matmul_with_large_k_dimension,10,8,5,True,True,1.0,n3,1,n1,0.9520958083832337,1.0503144654088048,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P006
1,7,kernelbench_l1_7_7_matmul_with_small_k_dimension,10,7,7,True,True,1.2116104868913857,phase2_n3,1,n1,1.1025641025641026,1.0989025346224195,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P007
1,8,kernelbench_l1_8_8_matmul_with_irregular_shapes,10,8,7,True,True,1.4753246753246751,phase2_n2,1,n1,0.9928571428571429,1.4859385219097447,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P008
1,9,kernelbench_l1_9_9_tall_skinny_matrix_multiplication,10,9,9,True,True,1.1685606060606062,phase2_n1,1,n1,1.0016233766233766,1.1666666666666667,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P009
1,10,kernelbench_l1_10_10_3d_tensor_matrix_multiplication,10,9,9,True,True,1.5477996965098633,phase2_n4,1,n1,1.0,1.5477996965098633,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P010
1,11,kernelbench_l1_11_11_4d_tensor_matrix_multiplication,10,9,9,True,True,1.0198019801980198,n1,1,n1,1.0198019801980198,1.0,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P011
1,12,kernelbench_l1_12_12_matmul_with_diagonal_matrices,10,10,9,True,True,1.0068493150684932,phase2_n3,2,n2,1.0,1.0068493150684932,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P012
1,13,kernelbench_l1_13_13_matmul_for_symmetric_matrices,10,9,8,True,True,1.3976608187134505,phase2_n4,1,n1,1.0254237288135595,1.3630080711420425,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P013
1,14,kernelbench_l1_14_14_matmul_for_upper_triangular_matrices,10,9,8,True,True,1.8962962962962964,n4,2,n2,0.6578249336870027,2.8826762246117084,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P014
1,15,kernelbench_l1_15_15_matmul_for_lower_triangular_matrices,10,8,7,True,False,0.9959183673469386,phase2_n2,3,n3,0.613941018766756,1.6221727118795115,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P015
1,16,kernelbench_l1_16_16_matmul_with_transposed_a,10,9,5,True,True,1.032710280373832,phase2_n3,1,n1,1.009090909090909,1.023406584154248,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P016
1,17,kernelbench_l1_17_17_matmul_with_transposed_b,10,10,8,True,True,1.0193548387096776,phase2_n2,1,n1,1.0096774193548388,1.0095846645367412,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P017
1,18,kernelbench_l1_18_18_matmul_with_transposed_both,10,8,7,True,False,0.9956521739130435,n5,2,n2,0.9259259259259257,1.0753043478260873,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P018
1,19,kernelbench_l1_19_19_relu,10,9,8,True,True,1.0,n4,2,n2,0.987012987012987,1.013157894736842,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P019
1,20,kernelbench_l1_20_20_leakyrelu,10,10,10,True,True,1.0175438596491226,n4,1,n1,0.9886363636363635,1.0292397660818713,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P020
1,21,kernelbench_l1_21_21_sigmoid,10,10,10,True,True,1.1589403973509935,phase2_n1,1,n1,0.9805194805194805,1.1819657032586293,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P021
1,22,kernelbench_l1_22_22_tanh,10,9,9,True,True,1.0,phase2_n3,1,n1,0.95,1.0526315789473684,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P022
1,23,kernelbench_l1_23_23_softmax,10,10,8,True,True,1.3105022831050228,phase2_n4,2,n2,0.9930555555555556,1.3196666347351278,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P023
1,24,kernelbench_l1_24_24_logsoftmax,10,7,7,True,True,1.2941176470588234,phase2_n2,1,n1,0.9965156794425087,1.2986425339366514,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P024
1,25,kernelbench_l1_25_25_swish,10,10,10,True,True,2.3448275862068964,phase2_n1,1,n1,2.1648936170212765,1.0831144624248072,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P025
1,26,kernelbench_l1_26_26_gelu,10,9,7,True,True,1.0132450331125828,phase2_n3,1,n1,0.9806451612903225,1.0332432903450681,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P026
1,27,kernelbench_l1_27_27_selu,10,8,8,True,True,1.0,phase2_n2,1,n1,0.9806451612903225,1.0197368421052633,/data/dyj/KernelWeaver/runs_final/kernelbench_k10/level1/L1_P027
